Money,Time,Percentage Change,Direction,Streak,Money_lag1,Direction_lag1,Streak_lag1,Money_lag2,Direction_lag2,Streak_lag2,Money_lag3,Direction_lag3,Streak_lag3,Money_lag4,Direction_lag4,Streak_lag4,Money_lag5,Direction_lag5,Streak_lag5,Rolling_mean_5,Rolling_std_5,Rolling_min_5,Rolling_max_5
13,1911,0.0,1.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,1.0,1.0,13.0,0.0,13.0,13.0
15,1912,15.38,1.0,1.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.4,0.8944271909999157,13.0,15.0
17,1913,13.33,1.0,2.0,15.0,1.0,1.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,14.2,1.7888543819998317,13.0,17.0
19,1914,11.76,-1.0,3.0,17.0,1.0,2.0,15.0,1.0,1.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,15.4,2.6076809620810595,13.0,19.0
17,1915,-10.53,-1.0,-1.0,19.0,1.0,3.0,17.0,1.0,2.0,15.0,1.0,1.0,13.0,0.0,0.0,13.0,0.0,0.0,16.2,2.280350850198276,13.0,19.0
15,1916,-11.76,-1.0,-2.0,17.0,-1.0,-1.0,19.0,1.0,3.0,17.0,1.0,2.0,15.0,1.0,1.0,13.0,0.0,0.0,16.6,1.6733200530681516,15.0,19.0
13,1917,-13.33,-1.0,-3.0,15.0,-1.0,-2.0,17.0,-1.0,-1.0,19.0,1.0,3.0,17.0,1.0,2.0,15.0,1.0,1.0,16.2,2.280350850198276,13.0,19.0
11,1919,0.0,1.0,0.0,11.0,-1.0,-4.0,13.0,-1.0,-3.0,15.0,-1.0,-2.0,17.0,-1.0,-1.0,19.0,1.0,3.0,13.4,2.6076809620810595,11.0,17.0
12,1920,9.09,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-4.0,13.0,-1.0,-3.0,15.0,-1.0,-2.0,17.0,-1.0,-1.0,12.4,1.6733200530681511,11.0,15.0
14,1921,16.67,1.0,2.0,12.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-4.0,13.0,-1.0,-3.0,15.0,-1.0,-2.0,12.2,1.3038404810405302,11.0,14.0
15,1922,7.14,-1.0,3.0,14.0,1.0,2.0,12.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-4.0,13.0,-1.0,-3.0,12.6,1.8165902124584956,11.0,15.0
14,1924,0.0,1.0,0.0,14.0,-1.0,-1.0,15.0,1.0,3.0,14.0,1.0,2.0,12.0,1.0,1.0,11.0,0.0,0.0,13.8,1.0954451150103333,12.0,15.0
15,1926,0.0,-1.0,0.0,15.0,1.0,1.0,14.0,0.0,0.0,14.0,-1.0,-1.0,15.0,1.0,3.0,14.0,1.0,2.0,14.6,0.5477225575051679,14.0,15.0
14,1929,0.0,1.0,0.0,14.0,0.0,0.0,14.0,-1.0,-1.0,15.0,0.0,0.0,15.0,1.0,1.0,14.0,0.0,0.0,14.4,0.5477225575051679,14.0,15.0
15,1930,7.14,-1.0,1.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,-1.0,-1.0,15.0,0.0,0.0,15.0,1.0,1.0,14.4,0.5477225575051679,14.0,15.0
13,1932,0.0,1.0,0.0,13.0,-1.0,-1.0,15.0,1.0,1.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,-1.0,-1.0,13.8,0.8366600265340769,13.0,15.0
15,1938,0.0,-1.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,1.0,1.0,15.0,0.0,15.0,15.0
14,1939,-6.67,-1.0,-1.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,14.8,0.4472135954999581,14.0,15.0
13,1940,-7.14,1.0,-2.0,14.0,-1.0,-1.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,14.4,0.8944271909999161,13.0,15.0
14,1941,7.69,1.0,1.0,13.0,-1.0,-2.0,14.0,-1.0,-1.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,14.2,0.8366600265340758,13.0,15.0
16,1942,14.29,-1.0,2.0,14.0,1.0,1.0,13.0,-1.0,-2.0,14.0,-1.0,-1.0,15.0,0.0,0.0,15.0,0.0,0.0,14.4,1.140175425099138,13.0,16.0
14,1943,-12.5,1.0,-1.0,16.0,1.0,2.0,14.0,1.0,1.0,13.0,-1.0,-2.0,14.0,-1.0,-1.0,15.0,0.0,0.0,14.2,1.095445115010332,13.0,16.0
16,1944,14.29,-1.0,1.0,14.0,-1.0,-1.0,16.0,1.0,2.0,14.0,1.0,1.0,13.0,-1.0,-2.0,14.0,-1.0,-1.0,14.6,1.3416407864998738,13.0,16.0
14,1946,0.0,1.0,0.0,14.0,-1.0,-1.0,16.0,1.0,1.0,14.0,-1.0,-1.0,16.0,1.0,2.0,14.0,1.0,1.0,14.8,1.0954451150103326,14.0,16.0
15,1947,7.14,1.0,1.0,14.0,0.0,0.0,14.0,-1.0,-1.0,16.0,1.0,1.0,14.0,-1.0,-1.0,16.0,1.0,2.0,14.6,0.8944271909999164,14.0,16.0
16,1949,0.0,-1.0,0.0,16.0,1.0,2.0,15.0,1.0,1.0,14.0,0.0,0.0,14.0,-1.0,-1.0,16.0,1.0,1.0,15.0,1.0000000000000004,14.0,16.0
15,1950,-6.25,-1.0,-1.0,16.0,0.0,0.0,16.0,1.0,2.0,15.0,1.0,1.0,14.0,0.0,0.0,14.0,-1.0,-1.0,15.2,0.836660026534076,14.0,16.0
14,1951,-6.67,-1.0,-2.0,15.0,-1.0,-1.0,16.0,0.0,0.0,16.0,1.0,2.0,15.0,1.0,1.0,14.0,0.0,0.0,15.2,0.836660026534076,14.0,16.0
12,1952,-14.29,1.0,-3.0,14.0,-1.0,-2.0,15.0,-1.0,-1.0,16.0,0.0,0.0,16.0,1.0,2.0,15.0,1.0,1.0,14.6,1.6733200530681511,12.0,16.0
14,1953,16.67,1.0,1.0,12.0,-1.0,-3.0,14.0,-1.0,-2.0,15.0,-1.0,-1.0,16.0,0.0,0.0,16.0,1.0,2.0,14.2,1.4832396974191326,12.0,16.0
16,1955,0.0,-1.0,0.0,16.0,1.0,2.0,14.0,1.0,1.0,12.0,-1.0,-3.0,14.0,-1.0,-2.0,15.0,-1.0,-1.0,14.4,1.6733200530681511,12.0,16.0
15,1956,-6.25,1.0,-1.0,16.0,0.0,0.0,16.0,1.0,2.0,14.0,1.0,1.0,12.0,-1.0,-3.0,14.0,-1.0,-2.0,14.6,1.6733200530681511,12.0,16.0
17,1957,13.33,1.0,1.0,15.0,-1.0,-1.0,16.0,0.0,0.0,16.0,1.0,2.0,14.0,1.0,1.0,12.0,-1.0,-3.0,15.6,1.140175425099138,14.0,17.0
19,1958,11.76,1.0,2.0,17.0,1.0,1.0,15.0,-1.0,-1.0,16.0,0.0,0.0,16.0,1.0,2.0,14.0,1.0,1.0,16.6,1.51657508881031,15.0,19.0
21,1959,10.53,-1.0,3.0,19.0,1.0,2.0,17.0,1.0,1.0,15.0,-1.0,-1.0,16.0,0.0,0.0,16.0,1.0,2.0,17.6,2.4083189157584584,15.0,21.0
19,2003,0.0,-1.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,-1.0,-1.0,21.0,1.0,3.0,19.0,1.0,2.0,19.4,0.8944271909999143,19.0,21.0
17,2004,-10.53,-1.0,-1.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,-1.0,-1.0,21.0,1.0,3.0,18.6,0.8944271909999163,17.0,19.0
16,2006,0.0,1.0,0.0,16.0,-1.0,-2.0,17.0,-1.0,-1.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,17.4,1.5165750888103102,16.0,19.0
18,2007,12.5,1.0,1.0,16.0,0.0,0.0,16.0,-1.0,-2.0,17.0,-1.0,-1.0,19.0,0.0,0.0,19.0,0.0,0.0,17.2,1.3038404810405295,16.0,19.0
20,2008,11.11,-1.0,2.0,18.0,1.0,1.0,16.0,0.0,0.0,16.0,-1.0,-2.0,17.0,-1.0,-1.0,19.0,0.0,0.0,17.4,1.6733200530681511,16.0,20.0
19,2010,0.0,-1.0,0.0,19.0,-1.0,-1.0,20.0,1.0,2.0,18.0,1.0,1.0,16.0,0.0,0.0,16.0,-1.0,-2.0,18.4,1.5165750888103102,16.0,20.0
17,2011,-10.53,-1.0,-1.0,19.0,0.0,0.0,19.0,-1.0,-1.0,20.0,1.0,2.0,18.0,1.0,1.0,16.0,0.0,0.0,18.6,1.140175425099139,17.0,20.0
15,2012,-11.76,-1.0,-2.0,17.0,-1.0,-1.0,19.0,0.0,0.0,19.0,-1.0,-1.0,20.0,1.0,2.0,18.0,1.0,1.0,18.0,2.0000000000000004,15.0,20.0
14,2013,-6.67,-1.0,-3.0,15.0,-1.0,-2.0,17.0,-1.0,-1.0,19.0,0.0,0.0,19.0,-1.0,-1.0,20.0,1.0,2.0,16.8,2.2803508501982765,14.0,19.0
12,2015,0.0,-1.0,0.0,12.0,-1.0,-4.0,14.0,-1.0,-3.0,15.0,-1.0,-2.0,17.0,-1.0,-1.0,19.0,0.0,0.0,14.0,2.121320343559644,12.0,17.0
11,2017,0.0,1.0,0.0,11.0,-1.0,-1.0,12.0,0.0,0.0,12.0,-1.0,-4.0,14.0,-1.0,-3.0,15.0,-1.0,-2.0,12.0,1.2247448713915912,11.0,14.0
13,2018,18.18,-1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,12.0,0.0,0.0,12.0,-1.0,-4.0,14.0,-1.0,-3.0,11.8,0.8366600265340784,11.0,13.0
11,2019,-15.38,1.0,-1.0,13.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,12.0,0.0,0.0,12.0,-1.0,-4.0,11.6,0.8944271909999185,11.0,13.0
12,2021,0.0,-1.0,0.0,12.0,1.0,1.0,11.0,-1.0,-1.0,13.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,11.8,0.8366600265340784,11.0,13.0
11,2022,-8.33,1.0,-1.0,12.0,0.0,0.0,12.0,1.0,1.0,11.0,-1.0,-1.0,13.0,1.0,1.0,11.0,0.0,0.0,11.8,0.8366600265340784,11.0,13.0
13,2024,0.0,-1.0,0.0,13.0,1.0,1.0,11.0,-1.0,-1.0,12.0,0.0,0.0,12.0,1.0,1.0,11.0,-1.0,-1.0,12.2,0.8366600265340784,11.0,13.0
11,2026,0.0,1.0,0.0,11.0,-1.0,-1.0,13.0,0.0,0.0,13.0,1.0,1.0,11.0,-1.0,-1.0,12.0,0.0,0.0,11.8,1.0954451150103346,11.0,13.0
12,2027,9.09,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,13.0,0.0,0.0,13.0,1.0,1.0,11.0,-1.0,-1.0,12.0,1.0000000000000024,11.0,13.0
14,2029,0.0,-1.0,0.0,14.0,1.0,2.0,12.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,13.0,0.0,0.0,12.4,1.5165750888103118,11.0,14.0
13,2031,0.0,-1.0,0.0,13.0,-1.0,-1.0,14.0,0.0,0.0,14.0,1.0,2.0,12.0,1.0,1.0,11.0,0.0,0.0,13.2,0.8366600265340782,12.0,14.0
11,2034,0.0,1.0,0.0,11.0,-1.0,-1.0,13.0,0.0,0.0,13.0,-1.0,-1.0,14.0,0.0,0.0,14.0,1.0,2.0,12.4,1.3416407864998756,11.0,14.0
13,2035,18.18,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,13.0,0.0,0.0,13.0,-1.0,-1.0,14.0,0.0,0.0,12.2,1.0954451150103346,11.0,13.0
15,2036,15.38,-1.0,2.0,13.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,13.0,0.0,0.0,13.0,-1.0,-1.0,12.6,1.673320053068153,11.0,15.0
14,2037,-6.67,-1.0,-1.0,15.0,1.0,2.0,13.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,13.0,0.0,0.0,12.8,1.7888543819998333,11.0,15.0
12,2038,-14.29,-1.0,-2.0,14.0,-1.0,-1.0,15.0,1.0,2.0,13.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,13.0,1.581138830084191,11.0,15.0
10,2039,-16.67,1.0,-3.0,12.0,-1.0,-2.0,14.0,-1.0,-1.0,15.0,1.0,2.0,13.0,1.0,1.0,11.0,0.0,0.0,12.8,1.923538406167136,10.0,15.0
11,2040,10.0,1.0,1.0,10.0,-1.0,-3.0,12.0,-1.0,-2.0,14.0,-1.0,-1.0,15.0,1.0,2.0,13.0,1.0,1.0,12.4,2.0736441353327733,10.0,15.0
12,2041,9.09,1.0,2.0,11.0,1.0,1.0,10.0,-1.0,-3.0,12.0,-1.0,-2.0,14.0,-1.0,-1.0,15.0,1.0,2.0,11.8,1.4832396974191344,10.0,14.0
13,2042,8.33,1.0,3.0,12.0,1.0,2.0,11.0,1.0,1.0,10.0,-1.0,-3.0,12.0,-1.0,-2.0,14.0,-1.0,-1.0,11.6,1.1401754250991407,10.0,13.0
15,2043,15.38,1.0,4.0,13.0,1.0,3.0,12.0,1.0,2.0,11.0,1.0,1.0,10.0,-1.0,-3.0,12.0,-1.0,-2.0,12.2,1.923538406167136,10.0,15.0
16,2044,6.67,-1.0,5.0,15.0,1.0,4.0,13.0,1.0,3.0,12.0,1.0,2.0,11.0,1.0,1.0,10.0,-1.0,-3.0,13.4,2.0736441353327737,11.0,16.0
14,2045,-12.5,-1.0,-1.0,16.0,1.0,5.0,15.0,1.0,4.0,13.0,1.0,3.0,12.0,1.0,2.0,11.0,1.0,1.0,14.0,1.5811388300841918,12.0,16.0
12,2046,-14.29,1.0,-2.0,14.0,-1.0,-1.0,16.0,1.0,5.0,15.0,1.0,4.0,13.0,1.0,3.0,12.0,1.0,2.0,14.0,1.5811388300841918,12.0,16.0
13,2048,0.0,1.0,0.0,13.0,1.0,1.0,12.0,-1.0,-2.0,14.0,-1.0,-1.0,16.0,1.0,5.0,15.0,1.0,4.0,13.6,1.5165750888103122,12.0,16.0
15,2049,15.38,-1.0,1.0,13.0,0.0,0.0,13.0,1.0,1.0,12.0,-1.0,-2.0,14.0,-1.0,-1.0,16.0,1.0,5.0,13.4,1.1401754250991407,12.0,15.0
