money,time,percentage_change,direction,streak,money_lag1,direction_lag1,streak_lag1,money_lag2,direction_lag2,streak_lag2,money_lag3,direction_lag3,streak_lag3,money_lag4,direction_lag4,streak_lag4,money_lag5,direction_lag5,streak_lag5
12,2026-06-17 19:03:37,,0,,,,,,,,,,,,,,,,
11,2026-06-17 19:04:37,-8.33,-1,-1.0,12.0,0.0,,,,,,,,,,,,,
11,2026-06-17 19:05:37,0.0,0,0.0,11.0,-1.0,-1.0,12.0,0.0,,,,,,,,,,
13,2026-06-17 19:06:37,18.18,1,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,12.0,0.0,,,,,,,
13,2026-06-17 19:07:37,0.0,0,0.0,13.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,12.0,0.0,,,,
13,2026-06-17 19:08:37,0.0,0,0.0,13.0,0.0,0.0,13.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0,12.0,0.0,
13,2026-06-17 19:09:37,0.0,0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,1.0,1.0,11.0,0.0,0.0,11.0,-1.0,-1.0
13,2026-06-17 19:10:37,0.0,0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,1.0,1.0,11.0,0.0,0.0
13,2026-06-17 19:11:37,0.0,0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,1.0,1.0
15,2026-06-17 19:12:37,15.38,1,1.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
17,2026-06-17 19:13:37,13.33,1,2.0,15.0,1.0,1.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
19,2026-06-17 19:14:37,11.76,1,3.0,17.0,1.0,2.0,15.0,1.0,1.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
17,2026-06-17 19:15:37,-10.53,-1,-1.0,19.0,1.0,3.0,17.0,1.0,2.0,15.0,1.0,1.0,13.0,0.0,0.0,13.0,0.0,0.0
